Group,Name,CourseNumber,StartDate,Days,Time,Period,Credits,Campus,Fee,Teacher,Detail
Computer Programming,Introduction to Machine Learning and Data Mining,DBDA.X408.(7),9/5/2018,Wed,06:00 PM,2018.09.05-2018.11.07,3.0,SANTA CLARA,$950,Shashidhar Sathyanarayana,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5607017&SectionID=6218943
Computer Programming,Introduction to Machine Learning and Data Mining,DBDA.X408.(6),10/1/2018,Mon,06:00 PM,2018.10.01-2018.12.10,3.0,SANTA CLARA,$950,Shashidhar Sathyanarayana,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5607017&SectionID=6218273
Computer Programming,Hadoop: Distributed Processing of Big Data,DBDA.X407.(5),9/29/2018,Sat,09:00 AM,2018.09.29-2018.12.08,3.0,SANTA CLARA,$960,Marilson Campos,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5595797&SectionID=6218195
Computer Programming,"C Programming, Advanced",CMPR.X401.(10),9/15/2018,Sat,09:00 AM,2018.09.15-2018.11.17,3.0,SANTA CLARA,$800,Rajainder A Yeldandi,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590521&SectionID=6216925
Computer Programming,"C Programming, Advanced",CMPR.X401.(808),11/13/2018,Tue,NA,2018.11.13-2019.02.12,3.0,ONLINE,$800,Rajainder A Yeldandi,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590521&SectionID=6223245
Computer Programming,"C Programming, Advanced",CMPR.X401.(807),9/18/2018,Tue,NA,2018.09.18-2018.12.18,3.0,ONLINE,$800,Rajainder A Yeldandi,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590521&SectionID=6219627
Computer Programming,"C Programming, Advanced",CMPR.X401.(806),8/3/2018,Fri,NA,2018.08.03-2018.11.02,3.0,ONLINE,$800,Rajainder A Yeldandi,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590521&SectionID=6140575
Computer Programming,Python Programming for Beginners,CMPR.X415.(11),10/16/2018,Tue,06:30 PM,2018.10.16-2018.11.20,1.5,SANTA CLARA,$580,Irv Kalb,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591073&SectionID=6217635
Computer Programming,Python Programming for Beginners,CMPR.X415.(10),9/6/2018,Thu,06:30 PM,2018.09.06-2018.10.11,1.5,SANTA CLARA,$580,Donald J Keidel,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5591073&SectionID=6217539
Computer Programming,"C++ Programming, Comprehensive",CMPR.X404.(10),9/13/2018,Thu,06:00 PM,2018.09.13-2018.11.15,3.0,SANTA CLARA,$1020,Jagadeesh Vasudevamurthy,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590581&SectionID=6217037
Computer Programming,"C++ Programming, Comprehensive",CMPR.X404.(808),11/13/2018,Tue,NA,2018.11.13-2019.02.12,3.0,ONLINE,$1020,Suleman Saya,http://course.ucsc-extension.edu/modules/shop/index.html?action=section&OfferingID=5590581&SectionID=6223305
